Fact,Fact Note,California,Value Note for California
"Population Estimates, July 1 2021, (V2021)",,"39,237,836",
"Population estimates base, April 1, 2020, (V2021)",,"39,538,223",
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)",,-0.8%,
"Population, Census, April 1, 2020",,"39,538,223",
"Population, Census, April 1, 2010",,"37,253,956",
"Persons under 5 years, percent",,6.0%,
"Persons under 18 years, percent",,22.5%,
"Persons 65 years and over, percent",,14.8%,
"Male persons, percent",,49.7%,
"Female persons, percent",,50.3%,
"White alone, percent",,71.9%,
"Black or African American alone, percent",(a),6.5%,
"American Indian and Alaska Native alone, percent",(a),1.6%,
"Asian alone, percent",(a),15.5%,
"Native Hawaiian and Other Pacific Islander alone, percent",(a),0.5%,
"Two or More Races, percent",,4.0%,
"Hispanic or Latino, percent",(b),39.4%,
"White alone, not Hispanic or Latino, percent",,36.5%,
"Veterans, 2016-2020",,"1,525,746",
"Foreign born persons, percent, 2016-2020",,26.6%,
"Housing units, July 1, 2021, (V2021)",,"14,512,281",
"Owner-occupied housing unit rate, 2016-2020",,55.3%,
"Median value of owner-occupied housing units, 2016-2020",,"$538,500.00",
"Median selected monthly owner costs -with a mortgage, 2016-2020",,"$2,422.00",
"Median selected monthly owner costs -without a mortgage, 2016-2020",,$618.00,
"Median gross rent, 2016-2020",,"$1,586.00",
"Building permits, 2021",,"119,436",
"Households, 2016-2020",,"13,103,114",
"Persons per household, 2016-2020",,2.94,
"Living in same house 1 year ago, percent of persons age 1 year+, 2016-2020",,87.6%,
"Language other than English spoken at home, percent of persons age 5 years+, 2016-2020",,43.9%,
"Households with a computer, percent, 2016-2020",,94.3%,
"Households with a broadband Internet subscription, percent, 2016-2020",,88.9%,
"High school graduate or higher, percent of persons age 25 years+, 2016-2020",,83.9%,
"Bachelor's degree or higher, percent of persons age 25 years+, 2016-2020",,34.7%,
"With a disability, under age 65 years, percent, 2016-2020",,6.8%,
"Persons  without health insurance, under age 65 years, percent",,8.9%,
"In civilian labor force, total, percent of population age 16 years+, 2016-2020",,63.3%,
"In civilian labor force, female, percent of population age 16 years+, 2016-2020",,57.7%,
"Total accommodation and food services sales, 2012 ($1,000)",(c),"90,830,372",
"Total health care and social assistance receipts/revenue, 2012 ($1,000)",(c),"248,953,592",
"Total manufacturers shipments, 2012 ($1,000)",(c),"512,303,164",
"Total retail sales, 2012 ($1,000)",(c),"481,800,461",
"Total retail sales per capita, 2012",(c),"$12,665.00",
"Mean travel time to work (minutes), workers age 16 years+, 2016-2020",,29.8,
"Median household income (in 2020 dollars), 2016-2020",,"$78,672.00",
"Per capita income in past 12 months (in 2020 dollars), 2016-2020",,"$38,576.00",
"Persons in poverty, percent",,11.5%,
"Total employer establishments, 2020",,"981,369",
"Total employment, 2020",,"15,710,859",
"Total annual payroll, 2020 ($1,000)",,"1,132,425,660",
"Total employment, percent change, 2019-2020",,1.3%,
"Total nonemployer establishments, 2018",,"3,453,769",
"All firms, 2012",,"3,548,449",
"Men-owned firms, 2012",,"1,852,580",
"Women-owned firms, 2012",,"1,320,085",
"Minority-owned firms, 2012",,"1,619,857",
"Nonminority-owned firms, 2012",,"1,819,107",
"Veteran-owned firms, 2012",,"252,377",
"Nonveteran-owned firms, 2012",,"3,176,341",
"Population per square mile, 2010",,239.1,
"Land area in square miles, 2010",,"155,779.22",
FIPS Code,,"""06""",
,,,
NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.,,,
,,,
Value Notes,,,
None,,,
,,,
Fact Notes,,,
(a),Includes persons reporting only one race,,
(c),Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data,,
(b),"Hispanics may be of any race, so also are included in applicable race categories",,
,,,
Value Flags,,,
-,"Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.",,
F,Fewer than 25 firms,,
D,Suppressed to avoid disclosure of confidential information,,
N,Data for this geographic area cannot be displayed because the number of sample cases is too small.,,
FN,Footnote on this item in place of data,,
X,Not applicable,,
S,Suppressed; does not meet publication standards,,
NA,Not available,,
Z,Value greater than zero but less than half unit of measure shown,,